Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Ahead_Tasty_Chicory/,,2,"62,228",1,62,
Video_Abhorrent_Jittery_Trap/,,5,"86,120,131,141,199",0,,
Video_Aback_Gentle_Deduce/,,2,"128,141",2,"128,141",
Video_Abounding_Wholesale_Van/,,4,"47,66,80,206",0,,
Video_Absorbed_Muddled_Chaos/,,2,"90,143",1,143,
Video_Accessible_Fallacious_Viscose/,,5,"70,77,189,225,263",1,77,
Video_Agonizing_Round_Planning/,,3,"140,200,259",3,"132,160,202",
Video_Agreeable_Ill_Butcher/,,2,"39,198",1,198,
Video_Alcoholic_Silky_Curler/,,3,"61,81,91",1,91,
Video_Arrogant_Quiet_Hive/,,3,"53,142,205",1,118,
Video_Awful_Early_Agony/,,2,"80,93",1,94,
Video_Somber_Soft_Dancer/,,9,"93,108,125,140,150,100,000,000,000",2,"202,246",
Video_Bloody_Nasty_Love/,,2,"90,105",0,,
Video_Bad_Strange_Peasant/,,0,,0,,
Video_Big_Blue_Statue/,,5,"37,80,111,130,210",1,37,
Video_Big_Endurable_Breakpoint/,,3,"126,142,168",0,,
Video_Black_Nappy_Redhead/,,1,141,0,,
Video_Boorish_Afraid_Dissonance/,,3,"5,118,176",1,176,
Video_Boring_Sleepy_Chopsticks/,,2,"172,197",1,159,
Video_Brainy_Macabre_Gathering/,,7,"84,105,122,151,205,200,000",2,"17,104",
Video_Bright_Plain_Bias/,,3,"40,50,161",1,161,
Video_Bumpy_Greedy_Accord/,,0,,1,198,
Video_Busy_Lavish_Snob/,,2,"16,263",0,,
Video_Callous_Harmonious_Trapezoid/,,2,"44,273",0,,
Video_Capricious_Unsuitable_Bunghole/,,5,"71,144,169,184,220",2,"46,144",
Video_Clean_Unsightly_Injury/,,5,"98,107,233,237,271",0,,
Video_Clear_Smooth_Brace/,,1,270,0,,
Video_Cloistered_Dazzling_Pail/,,4,"34,98,143,156",0,,
Video_Combative_Available_Context/,,1,66,1,93,
Video_Concerned_Understood_Egg/,,2,"233,258",0,,
Video_Confused_Magenta_Mutt/,,2,"180,191",0,,
Video_Crooked_Jolly_Wetland/,,1,35,0,,
Video_Curious_Motionless_Waiter/,,4,"42,118,203,259",1,90,
Video_Dangerous_Boundless_Probation/,,1,94,2,"72,94",
Video_Dangerous_Unsuitable_Pannier/,,6,"34,119,144,211,233,200",0,,
Video_Dashing_Racial_Cliff/,,0,,0,,
Video_Defeated_Joyous_Hundred/,,1,135,6,"6,26,48,73,231,264",
Video_Deserted_Scientific_Cub/,,3,"63,154,198",1,220,
Video_Didactic_Spiffy_Ketchup/,,5,"54,133,159,201,220",0,,
Video_Difficult_Lovely_Marker/,,0,,1,76,
Video_Disturbed_Merciful_Bolero/,,4,"43,83,160,181",0,,
Video_Disturbed_Nutritious_Woolens/,,4,"95,111,133,273",1,111,
Video_Doubtful_Boorish_Elicit/,,1,220,0,,
Video_Dry_Pleasant_Slash/,,6,"76,159,186,211,234,200",1,69,
Video_Dynamic_Spicy_Intensity/,,0,,0,,
Video_Educated_Illegal_Coast/,,5,"78,136,190,230,260",2,"41,137",Shaking of trough during trial
Video_Elderly_Great_Tractor/,,1,190,0,,
Video_Eminent_Cute_Sound/,,2,"51,220",0,,
Video_Enchanting_Racial_Total/,,4,"47,130,161,210",0,,
Video_Energetic_Gainful_Footnote/,,3,"15,184,235",0,,
Video_Energetic_Little_Carry/,,4,"34,84,165,262",0,,Shaking during trial
Video_Equable_Billowy_Fen/,,3,"96,139,248",0,,
Video_Erratic_Aback_Miter/,,1,35,0,,
Video_Erratic_Short_Survivor/,,0,,0,,
Video_Faded_Sneaky_Sprinter/,,2,"240,261",0,,
