Run,Troupe,Day,BlockNum,Trial ,W1,W2,W3,W4,W5,W6,Well1 Quiescent,Well2 Quiescent,Well3 Quiescent,Well4 Quiescent,Well5 Quiescent,Well6 Quiescent,Notes
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,1,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,1,0,,,,,,,
,,,,16,0,0,0,0,1,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
NA,bum_SM_test_1,1,1,1,0,0,0,0,0,0,,,,,,,Ignore/discard
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,1,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,1,0,0,1,,,,,,,
,,,,6,0,1,0,0,0,1,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,1,0,1,0,0,0,,,,,,1,
,,,,9,1,0,0,0,0,1,,,,,,,
,,,,10,0,0,0,1,0,0,,,,,,,
,,,,11,1,0,0,0,0,0,,,,,,,
,,,,12,0,1,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,1,,,,,1,
,,,,14,0,0,0,0,0,0,,,,,,1,
,,,,15,0,0,0,0,0,0,1,1,,,,1,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,1,,,,,,,
,,,,19,0,0,0,0,0,0,1,1,,,1,,
,,,,20,0,0,0,0,0,0,1,1,,,1,,
,,,,21,0,0,0,0,0,0,1,1,,,1,1,
,,,,22,0,0,0,0,0,0,1,1,,,1,1,
,,,,23,0,0,0,0,0,0,1,1,,,1,1,
,,,,24,0,0,0,1,0,0,1,1,,,1,1,
,,,,25,0,0,0,1,0,0,1,1,,,1,1,
NA,bum_SM_test_1,1,2,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,1,0,,,,,,1,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,1,1,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,1,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,1,0,,,,1,,1,
,,,,9,0,0,1,0,0,0,,1,,,,1,
,,,,10,0,1,0,0,1,0,1,,,,,,
,,,,11,0,0,1,0,0,0,1,,,,,,
,,,,12,0,0,0,0,1,0,1,1,,1,,,
,,,,13,0,0,0,0,1,0,1,1,,1,,,
,,,,14,0,0,0,1,1,0,1,1,,,,1,
,,,,15,0,0,1,1,0,0,1,1,,,,1,
,,,,16,0,0,0,0,1,0,1,1,1,1,,1,
,,,,17,0,0,0,0,1,0,1,1,1,1,,1,
,,,,18,0,0,0,0,0,0,1,1,1,1,,1,
,,,,19,0,0,0,0,0,0,1,1,1,1,,1,
,,,,20,0,0,0,0,0,0,1,1,1,1,,1,
,,,,21,0,0,0,0,0,0,1,1,1,1,,1,
,,,,22,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,23,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,24,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,25,0,0,0,0,0,0,1,1,1,1,1,1,
2025_03_31_12_00_24_trial_1_CC,SM_test_1,1,1,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,1,1,0,,,,,,,
,,,,4,0,0,0,0,1,1,,,,,,,
,,,,5,0,0,0,0,0,1,,,,,,,
,,,,6,0,0,1,0,0,1,,,,,,,
,,,,7,0,0,1,1,0,0,,,,,,,
,,,,8,0,0,0,1,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,1,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,1,0,0,0,1,,,,,,,
,,,,16,0,0,0,0,0,1,,,,,,,
,,,,17,0,0,0,0,1,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
NA,SM_test_1,1,2,1,0,0,0,0,0,0,,,,,,,Ignore/discard
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,1,1,0,,,,,,,
,,,,4,0,0,0,0,1,1,,,,,,,
,,,,5,0,0,0,0,0,1,,,,,,,
,,,,6,0,0,1,0,0,1,,,,,,,
,,,,7,0,0,1,1,0,0,,,,,,,
,,,,8,0,0,0,1,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,1,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,1,0,0,0,1,,,,,,,
,,,,16,0,0,0,0,0,1,,,,,,,
,,,,17,0,0,0,0,1,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_01_11_49_36_trial_1_CC,GD_1_UVSHOCK,1,1,1,0,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted."
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,1,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
